Comment,Designator,Footprint,LCSC,Quantity
TF-015,J201,TF-015_SOFNG,C113206,1
1k,R308,R_0402_1005Metric,C11702,1
1u,"C101,C102,C105,C204,C301,C307,C401,C402,C403,C404,C405,C406,C407,C408,C409",C_0402_1005Metric,C14445,15
0u1,"C106,C202,C203,C207,C302,C303,C304,C305,C306,C308",C_0402_1005Metric,C1525,10
SM04B-SRSS-TB,"J205,J206",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,2
USB_C_Receptacle_USB2.0_16P,J101,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
10u,"C103,C104,C107,C108,C109,C110,C201,C206",C_0603_1608Metric,C1691,8
AP2112K-1.8,U104,SOT-23-5,C176944,1
BAT54C,D104,SOT-23,C181200,1
0R,"R114,R208",R_0603_1608Metric,C21189,2
LED,D208,LED_0402_1005Metric,C21260817,1
PTS810SJG250,"SW101,SW201",SW_SPST_PTS810,C221895,2
470R,R203,R_0402_1005Metric,C25117,1
100k,R110,R_0402_1005Metric,C25741,1
10k,"R105,R106,R107,R112,R113,R204,R205,R206,R207,R209,R210,R211,R212,R213,R214,R305",R_0402_1005Metric,C25744,16
1k2,"R103,R215",R_0402_1005Metric,C25862,2
3k3,R111,R_0402_1005Metric,C25890,1
5k1,"R101,R102,R201,R202,R301,R302,R303,R304",R_0402_1005Metric,C25905,8
6k8,R104,R_0402_1005Metric,C25917,1
178k,R109,R_0402_1005Metric,C26995,1
SK6805-EC20,"D401,D402,D403,D404,D405,D406,D407,D408,D409",SK68xx-EC20,C2890036,9
JST PH S2B,J102,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747,1
T3902,U304,MMIC,C3171752,1
61k9,R108,R_0402_1005Metric,C327331,1
APX803-29SAG,U102,SOT-23,C460551,1
AP2112K-3.3,U103,SOT-23-5,C51118,1
LESD5D5.0CT1G,"D101,D102,D103",D_SOD-523,C5199850,3
ICP20100,U302,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,C5343527,1
ESP32-C6-MINI-1/U,U201,ESP32-C6-MINI-1,C5736265,1
ICM-20948,U301,InvenSense_QFN-24_3x3mm_P0.4mm,C726001,1
10n,L101,L_0402_1005Metric,C77103,1
BH1750FVI,U303,XDCR_BH1750FVI-TR,C78960,1
BQ24040,U101,QFN_10_BQ24040,C81080,1
BSS138,"Q301,Q302,Q303",SOT-23,C8490,3
TestPoint,TP105,TestPoint_Pad_D2.0mm,,1
TestPoint,TP101,TestPoint_Pad_D2.0mm,,1
TestPoint,TP104,TestPoint_Pad_D2.0mm,,1
TestPoint,TP102,TestPoint_Pad_D2.0mm,,1
TestPoint,TP103,TestPoint_Pad_D2.0mm,,1
