Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,1u,C_0402_1005Metric,157.34,-110.81,90.0,top
C102,1u,C_0402_1005Metric,155.94,-110.83,90.0,top
C103,10u,C_0603_1608Metric,155.1,-103.875,90.0,top
C104,10u,C_0603_1608Metric,155.1,-100.845,-90.0,top
C105,1u,C_0402_1005Metric,153.59,-95.57,180.0,top
C106,0u1,C_0402_1005Metric,157.26,-83.32,-90.0,top
C107,10u,C_0603_1608Metric,156.1,-98.24,0.0,top
C108,10u,C_0603_1608Metric,156.08,-92.47,0.0,top
C109,10u,C_0603_1608Metric,156.0775,-90.8175,0.0,top
C110,10u,C_0603_1608Metric,156.0775,-85.0575,0.0,top
C201,10u,C_0603_1608Metric,157.7,-73.90035,90.0,top
C202,0u1,C_0402_1005Metric,159.05,-74.20035,90.0,top
C203,0u1,C_0402_1005Metric,187.76,-79.37,90.0,bottom
C204,1u,C_0402_1005Metric,156.0175,-79.95,180.0,top
C206,10u,C_0603_1608Metric,172.55,-101.46035,-90.0,top
C207,0u1,C_0402_1005Metric,173.85,-101.46035,-90.0,top
C301,1u,C_0402_1005Metric,110.69,-106.6,270.0,bottom
C302,0u1,C_0402_1005Metric,107.77,-110.6,180.0,bottom
C303,0u1,C_0402_1005Metric,111.14,-108.03,0.0,bottom
C304,0u1,C_0402_1005Metric,160.22,-108.8675,90.0,bottom
C305,0u1,C_0402_1005Metric,156.76,-107.8675,270.0,bottom
C306,0u1,C_0402_1005Metric,131.6225,-108.53,90.0,bottom
C307,1u,C_0402_1005Metric,134.075,-106.975,0.0,bottom
C308,0u1,C_0402_1005Metric,183.9475,-105.868,180.0,bottom
C401,1u,C_0402_1005Metric,168.74,-80.05,0.0,bottom
C402,1u,C_0402_1005Metric,156.01,-80.07,180.0,bottom
C403,1u,C_0402_1005Metric,120.41,-81.14,0.0,bottom
C404,1u,C_0402_1005Metric,107.775,-90.375,180.0,bottom
C405,1u,C_0402_1005Metric,120.5,-90.5,180.0,bottom
C406,1u,C_0402_1005Metric,145.9,-90.525,180.0,bottom
C407,1u,C_0402_1005Metric,159.55,-90.35,180.0,bottom
C408,1u,C_0402_1005Metric,171.3,-90.5,180.0,bottom
C409,1u,C_0402_1005Metric,183.975,-90.525,180.0,bottom
D101,LESD5D5.0CT1G,D_SOD-523,158.81,-111.53,90.0,top
D102,LESD5D5.0CT1G,D_SOD-523,164.45,-104.4325,180.0,top
D103,LESD5D5.0CT1G,D_SOD-523,167.5475,-104.43,180.0,top
D104,BAT54C,SOT-23,160.56,-95.3475,90.0,top
D208,LED,LED_0402_1005Metric,168.0,-86.695,90.0,top
D401,SK6805-EC20,SK68xx-EC20,171.21,-79.44,0.0,bottom
D402,SK6805-EC20,SK68xx-EC20,158.51,-79.44,0.0,bottom
D403,SK6805-EC20,SK68xx-EC20,120.41,-79.44,0.0,bottom
D404,SK6805-EC20,SK68xx-EC20,107.775,-92.15,180.0,bottom
D405,SK6805-EC20,SK68xx-EC20,120.475,-92.175,180.0,bottom
D406,SK6805-EC20,SK68xx-EC20,145.875,-92.15,180.0,bottom
D407,SK6805-EC20,SK68xx-EC20,158.525,-92.125,180.0,bottom
D408,SK6805-EC20,SK68xx-EC20,171.275,-92.15,180.0,bottom
D409,SK6805-EC20,SK68xx-EC20,183.95,-92.175,180.0,bottom
